{level:"warn", message:"Token verification failed", timestamp:"2024-11-17T14:56:42.294Z"}
{level:"info", message:"Fetched single product", timestamp:"2024-11-17T14:57:06.721Z"}
{level:"info", message:"Fetched reviews for product", timestamp:"2024-11-17T14:57:06.801Z"}
{level:"info", message:"User logged in successfully", timestamp:"2024-11-17T14:57:14.910Z"}
{level:"info", message:"Review fetched successfully", timestamp:"2024-11-17T14:57:19.007Z"}
{level:"info", message:"Review fetched successfully", timestamp:"2024-11-17T14:57:24.917Z"}
{level:"info", message:"Review fetched successfully", timestamp:"2024-11-17T14:57:41.235Z"}
{level:"info", message:"Review fetched successfully", timestamp:"2024-11-17T14:59:51.145Z"}
{level:"info", message:"Token verified successfully", timestamp:"2024-11-17T14:59:52.737Z"}
{level:"info", message:"Review fetched successfully", timestamp:"2024-11-17T14:59:52.925Z"}
{level:"info", message:"Review fetched successfully", timestamp:"2024-11-17T14:59:55.191Z"}
{level:"info", message:"Review fetched successfully", timestamp:"2024-11-17T14:59:56.848Z"}
{level:"info", message:"Fetched single product", timestamp:"2024-11-17T15:01:27.378Z"}
{level:"info", message:"Fetched reviews for product", timestamp:"2024-11-17T15:01:27.417Z"}
{level:"info", message:"User logged in successfully", timestamp:"2024-11-17T15:01:35.856Z"}
{level:"info", message:"Fetched single product", timestamp:"2024-11-17T15:01:35.927Z"}
{level:"info", message:"Fetched reviews for product", timestamp:"2024-11-17T15:01:35.970Z"}
